Year,Country,Country Code,CO2 Emissions (kt) ,CO2 Emissions From Gaseous Fuel Consumption (kt) ,CO2 Emissions From Liquid Fuel Consumption (kt) ,CO2 Emissions From Solid Fuel Consumption (kt) ,GDP per Capita (current US$) ,Life Expectancy At Birth-Female (years) ,Life Expectancy At Birth-Male (years) ,Life Expectancy At Birth-Total (years) ,Methane Emissions (kt of CO2 equivalent) ,Nitrous Oxide Emissions (thousand metric tons of CO2 equivalent) ,Population-Female (% of total population) ,Population-Male (% of total population) ,Population-Total ,Total Greenhouse Gas Emissions (kt of CO2 equivalent) 
2007,ARGENTINA,ARG,162810.00,87248.93,78015.43,3663.33,7245.45,78.16,71.35,74.79,130810.00,47170.00,51.38,48.62,39684303.00,349820.01
2007,AUSTRALIA,AUS,385750.00,60696.18,99038.34,207390.85,41001.14,83.7,79.00,81.29,136690.00,76870.00,50.04,49.96,20827600.00,606469.97
2007,BRAZIL,BRA,352560.00,40579.02,240217.84,55346.03,7348.19,76.457,68.91,72.62,397070.01,158620.00,50.61,49.39,190130445.00,914650.02
2007,CANADA,CAN,571630.00,181153.47,265058.09,114505.74,44659.90,82.9,78.30,80.54,91980.00,39900.00,50.40,49.60,32889025.00,712789.98
2007,CHINA,CHN,6993180.18,135433.31,904450.88,4978938.92,2693.97,75.508,71.79,73.55,974729.98,449070.00,48.62,51.38,1317885000.00,8555799.80
2007,GERMANY,DEU,783799.99,175198.26,254926.17,334448.74,41640.08,82.3,76.90,79.53,61370.00,46710.00,51.08,48.92,82266372.00,903289.98
2007,INDIA,IND,1336739.99,52738.79,335739.52,931927.71,1028.33,66.253,64.50,65.35,613549.99,220830.00,47.97,52.03,1183209471.00,2180790.04
2007,INDONESIA,IDN,379959.99,57124.53,166360.79,128781.37,1860.00,70.025,66.23,68.11,281540.01,74980.00,49.72,50.28,232374239.00,738270.02
2007,JAPAN,JPN,1225069.95,190086.28,583878.08,443835.35,35779.02,85.99,79.19,82.51,31890.00,20860.00,51.04,48.96,128001000.00,1302140.01
2007,MOROCCO,MAR,46350.00,1243.11,27550.17,15089.71,2499.26,74.309,71.64,73.01,10300.00,7930.00,50.67,49.33,31163670.00,64840.00
2007,RUSSIAN FEDERATION,RUS,1658150.02,838408.21,339417.52,428719.97,9101.25,74.02,61.46,67.59,593120.00,51980.00,53.55,46.45,142805114.00,2325780.03
2007,SENEGAL,SEN,6200.00,22.00,2878.60,707.73,1197.41,63.554,60.61,62.13,8610.00,4350.00,51.23,48.77,11687078.00,19590.00
2007,UKRAINE,UKR,312140.01,125580.08,41411.43,146786.34,3197.93,74.22,62.51,68.22,41510.00,19440.00,53.72,46.28,46509355.00,373760.01
2007,UNITED KINGDOM,GBR,530500.00,187724.73,184519.77,146947.69,50653.26,81.6,77.40,79.45,77780.00,30950.00,50.97,49.03,61322463.00,655179.99
2007,UNITED STATES,USA,5736319.82,1244700.81,2377235.43,2111062.56,48050.22,80.6,75.50,77.99,612919.98,269780.00,50.64,49.36,301231207.00,6767470.21
2008,ARGENTINA,ARG,167230.00,90193.53,88730.40,3879.69,9020.87,78.323,71.51,74.95,130190.00,45840.00,51.37,48.63,40080159.00,354269.99
2008,AUSTRALIA,AUS,388940.00,65488.95,107076.40,208267.27,49654.91,83.7,79.20,81.40,120490.00,61400.00,50.01,49.99,21249200.00,578950.01
2008,BRAZIL,BRA,373630.00,48569.42,253001.00,56006.09,8831.18,76.779,69.27,72.97,396510.01,152420.00,50.63,49.37,192030362.00,929710.02
2008,CANADA,CAN,550469.97,180970.12,258057.79,112437.55,46710.51,83,78.50,80.70,88220.00,40190.00,50.39,49.61,33247118.00,688190.00
2008,CHINA,CHN,7199600.10,149796.95,970911.59,5734164.91,3468.30,75.855,72.02,73.84,993609.99,464320.00,48.62,51.38,1324655000.00,8810969.73
2008,GERMANY,DEU,789690.00,176727.40,274702.30,311654.66,45612.71,82.4,77.20,79.74,61000.00,44390.00,51.04,48.96,82110097.00,906159.97
2008,INDIA,IND,1424380.00,63098.07,403403.00,1007497.25,998.52,66.735,64.91,65.79,620820.01,225510.00,47.97,52.03,1200669762.00,2281000.00
2008,INDONESIA,IDN,376140.01,60362.49,158432.74,173254.75,2166.85,70.474,66.55,68.49,276290.01,77340.00,49.68,50.32,235469755.00,731760.01
